kind,player,date,name,calls,total_ms,avg_ms,max_ms
lag,lgw,Year 1, spring 1, Monday,2,3653.0
lag,lgw,Year 1, spring 1, Monday,23,418.9
lag,lgw,Year 1, spring 1, Monday,54,126.2
lag,lgw,Year 1, spring 1, Monday,2128,169.3
lag,lgw,Year 1, spring 1, Monday,5758,177.2
frame,lgw,Year 1, spring 1, Monday,5120,21.1
frame,lgw,Year 1, spring 1, Monday,5121,0.1
frame,lgw,Year 1, spring 1, Monday,5122,21.6
frame,lgw,Year 1, spring 1, Monday,5123,21.2
frame,lgw,Year 1, spring 1, Monday,5124,21.1
frame,lgw,Year 1, spring 1, Monday,5125,0.1
frame,lgw,Year 1, spring 1, Monday,5126,20.9
frame,lgw,Year 1, spring 1, Monday,5127,21.2
frame,lgw,Year 1, spring 1, Monday,5128,22.2
frame,lgw,Year 1, spring 1, Monday,5129,21.4
frame,lgw,Year 1, spring 1, Monday,5130,0.1
frame,lgw,Year 1, spring 1, Monday,5131,20.9
frame,lgw,Year 1, spring 1, Monday,5132,21.0
frame,lgw,Year 1, spring 1, Monday,5133,20.8
frame,lgw,Year 1, spring 1, Monday,5134,21.2
frame,lgw,Year 1, spring 1, Monday,5135,0.1
frame,lgw,Year 1, spring 1, Monday,5136,21.0
frame,lgw,Year 1, spring 1, Monday,5137,21.0
frame,lgw,Year 1, spring 1, Monday,5138,21.4
frame,lgw,Year 1, spring 1, Monday,5139,0.1
frame,lgw,Year 1, spring 1, Monday,5140,21.1
frame,lgw,Year 1, spring 1, Monday,5141,21.1
frame,lgw,Year 1, spring 1, Monday,5142,21.6
frame,lgw,Year 1, spring 1, Monday,5143,21.3
frame,lgw,Year 1, spring 1, Monday,5144,0.1
frame,lgw,Year 1, spring 1, Monday,5145,21.8
frame,lgw,Year 1, spring 1, Monday,5146,21.5
frame,lgw,Year 1, spring 1, Monday,5147,21.1
frame,lgw,Year 1, spring 1, Monday,5148,0.2
frame,lgw,Year 1, spring 1, Monday,5149,21.8
frame,lgw,Year 1, spring 1, Monday,5150,21.4
frame,lgw,Year 1, spring 1, Monday,5151,21.0
frame,lgw,Year 1, spring 1, Monday,5152,21.1
frame,lgw,Year 1, spring 1, Monday,5153,0.1
frame,lgw,Year 1, spring 1, Monday,5154,21.0
frame,lgw,Year 1, spring 1, Monday,5155,20.9
frame,lgw,Year 1, spring 1, Monday,5156,20.8
frame,lgw,Year 1, spring 1, Monday,5157,21.1
frame,lgw,Year 1, spring 1, Monday,5158,0.1
frame,lgw,Year 1, spring 1, Monday,5159,21.8
frame,lgw,Year 1, spring 1, Monday,5160,21.2
frame,lgw,Year 1, spring 1, Monday,5161,21.4
frame,lgw,Year 1, spring 1, Monday,5162,0.1
frame,lgw,Year 1, spring 1, Monday,5163,22.8
frame,lgw,Year 1, spring 1, Monday,5164,20.8
frame,lgw,Year 1, spring 1, Monday,5165,21.4
frame,lgw,Year 1, spring 1, Monday,5166,21.9
frame,lgw,Year 1, spring 1, Monday,5167,0.1
frame,lgw,Year 1, spring 1, Monday,5168,20.9
frame,lgw,Year 1, spring 1, Monday,5169,21.0
frame,lgw,Year 1, spring 1, Monday,5170,21.9
frame,lgw,Year 1, spring 1, Monday,5171,0.1
frame,lgw,Year 1, spring 1, Monday,5172,20.9
frame,lgw,Year 1, spring 1, Monday,5173,21.0
frame,lgw,Year 1, spring 1, Monday,5174,20.8
frame,lgw,Year 1, spring 1, Monday,5175,21.4
frame,lgw,Year 1, spring 1, Monday,5176,0.2
frame,lgw,Year 1, spring 1, Monday,5177,21.4
frame,lgw,Year 1, spring 1, Monday,5178,21.5
frame,lgw,Year 1, spring 1, Monday,5179,21.0
frame,lgw,Year 1, spring 1, Monday,5180,0.1
frame,lgw,Year 1, spring 1, Monday,5181,21.1
frame,lgw,Year 1, spring 1, Monday,5182,21.1
frame,lgw,Year 1, spring 1, Monday,5183,21.0
frame,lgw,Year 1, spring 1, Monday,5184,20.9
frame,lgw,Year 1, spring 1, Monday,5185,0.1
frame,lgw,Year 1, spring 1, Monday,5186,21.1
frame,lgw,Year 1, spring 1, Monday,5187,20.9
frame,lgw,Year 1, spring 1, Monday,5188,21.3
frame,lgw,Year 1, spring 1, Monday,5189,20.9
frame,lgw,Year 1, spring 1, Monday,5190,0.1
frame,lgw,Year 1, spring 1, Monday,5191,21.1
frame,lgw,Year 1, spring 1, Monday,5192,21.0
frame,lgw,Year 1, spring 1, Monday,5193,21.5
frame,lgw,Year 1, spring 1, Monday,5194,21.1
frame,lgw,Year 1, spring 1, Monday,5195,0.1
frame,lgw,Year 1, spring 1, Monday,5196,20.7
frame,lgw,Year 1, spring 1, Monday,5197,21.1
frame,lgw,Year 1, spring 1, Monday,5198,21.6
frame,lgw,Year 1, spring 1, Monday,5199,0.1
frame,lgw,Year 1, spring 1, Monday,5200,21.1
frame,lgw,Year 1, spring 1, Monday,5201,21.6
frame,lgw,Year 1, spring 1, Monday,5202,22.3
frame,lgw,Year 1, spring 1, Monday,5203,20.7
frame,lgw,Year 1, spring 1, Monday,5204,0.1
frame,lgw,Year 1, spring 1, Monday,5205,21.6
frame,lgw,Year 1, spring 1, Monday,5206,21.4
frame,lgw,Year 1, spring 1, Monday,5207,21.1
frame,lgw,Year 1, spring 1, Monday,5208,0.2
