kind,player,date,name,calls,total_ms,avg_ms,max_ms
switch,lgw,Year 1, spring 3, Wednesday,610,77.7
switch,lgw,Year 1, spring 3, Wednesday,620,18.5
switch,lgw,Year 1, spring 3, Wednesday,630,19.9
switch,lgw,Year 1, spring 3, Wednesday,640,17.9
switch,lgw,Year 1, spring 3, Wednesday,650,18.0
switch,lgw,Year 1, spring 3, Wednesday,700,21.0
switch,lgw,Year 1, spring 3, Wednesday,710,81.4
switch,lgw,Year 1, spring 3, Wednesday,720,17.4
switch,lgw,Year 1, spring 3, Wednesday,730,17.8
switchdetail,lgw,Year 1, spring 3, Wednesday,600,0,0.0
switchdetail,lgw,Year 1, spring 3, Wednesday,610,0,0.0
switchdetail,lgw,Year 1, spring 3, Wednesday,620,0,0.0
switchdetail,lgw,Year 1, spring 3, Wednesday,630,0,0.0
switchdetail,lgw,Year 1, spring 3, Wednesday,640,0,0.0
switchdetail,lgw,Year 1, spring 3, Wednesday,650,0,0.0
switchdetail,lgw,Year 1, spring 3, Wednesday,700,0,0.0
switchdetail,lgw,Year 1, spring 3, Wednesday,710,0,0.0
switchdetail,lgw,Year 1, spring 3, Wednesday,720,0,0.0
lag,lgw,Year 1, spring 3, Wednesday,2,203.7
lag,lgw,Year 1, spring 3, Wednesday,23,327.7
lag,lgw,Year 1, spring 3, Wednesday,100,98.0
lag,lgw,Year 1, spring 3, Wednesday,324,78.0
lag,lgw,Year 1, spring 3, Wednesday,3607,168.6
lag,lgw,Year 1, spring 3, Wednesday,3766,701.9
lag,lgw,Year 1, spring 3, Wednesday,3796,113.8
lag,lgw,Year 1, spring 3, Wednesday,4104,3892.6
lag,lgw,Year 1, spring 3, Wednesday,4105,109.1
lag,lgw,Year 1, spring 3, Wednesday,4439,94.9
lag,lgw,Year 1, spring 3, Wednesday,4523,77.7
lag,lgw,Year 1, spring 3, Wednesday,4907,81.4
frame,lgw,Year 1, spring 3, Wednesday,5120,16.4
frame,lgw,Year 1, spring 3, Wednesday,5121,16.7
frame,lgw,Year 1, spring 3, Wednesday,5122,16.7
frame,lgw,Year 1, spring 3, Wednesday,5123,16.7
frame,lgw,Year 1, spring 3, Wednesday,5124,16.7
frame,lgw,Year 1, spring 3, Wednesday,5125,17.2
frame,lgw,Year 1, spring 3, Wednesday,5126,16.1
frame,lgw,Year 1, spring 3, Wednesday,5127,16.7
frame,lgw,Year 1, spring 3, Wednesday,5128,16.9
frame,lgw,Year 1, spring 3, Wednesday,5129,16.5
frame,lgw,Year 1, spring 3, Wednesday,5130,16.5
frame,lgw,Year 1, spring 3, Wednesday,5131,19.1
frame,lgw,Year 1, spring 3, Wednesday,5132,14.4
frame,lgw,Year 1, spring 3, Wednesday,5133,16.6
frame,lgw,Year 1, spring 3, Wednesday,5134,16.6
frame,lgw,Year 1, spring 3, Wednesday,5135,16.9
frame,lgw,Year 1, spring 3, Wednesday,5136,16.4
