kind,player,date,name,calls,total_ms,avg_ms,max_ms
lag,,Year 1, spring 0, Sunday,2,229.2
lag,,Year 1, spring 0, Sunday,30,272.1
lag,,Year 1, spring 0, Sunday,58,102.0
lag,,Year 1, spring 0, Sunday,73,127.2
lag,,Year 1, spring 0, Sunday,1468,92.8
frame,,Year 1, spring 0, Sunday,5120,20.6
frame,,Year 1, spring 0, Sunday,5121,21.0
frame,,Year 1, spring 0, Sunday,5122,20.5
frame,,Year 1, spring 0, Sunday,5123,0.0
frame,,Year 1, spring 0, Sunday,5124,21.2
frame,,Year 1, spring 0, Sunday,5125,20.7
frame,,Year 1, spring 0, Sunday,5126,20.5
frame,,Year 1, spring 0, Sunday,5127,21.0
frame,,Year 1, spring 0, Sunday,5128,0.0
frame,,Year 1, spring 0, Sunday,5129,21.0
frame,,Year 1, spring 0, Sunday,5130,20.7
frame,,Year 1, spring 0, Sunday,5131,20.5
frame,,Year 1, spring 0, Sunday,5132,20.5
frame,,Year 1, spring 0, Sunday,5133,0.0
frame,,Year 1, spring 0, Sunday,5134,20.4
frame,,Year 1, spring 0, Sunday,5135,20.7
frame,,Year 1, spring 0, Sunday,5136,20.3
frame,,Year 1, spring 0, Sunday,5137,20.5
frame,,Year 1, spring 0, Sunday,5138,0.0
frame,,Year 1, spring 0, Sunday,5139,20.4
frame,,Year 1, spring 0, Sunday,5140,20.6
frame,,Year 1, spring 0, Sunday,5141,20.3
frame,,Year 1, spring 0, Sunday,5142,20.5
frame,,Year 1, spring 0, Sunday,5143,20.5
frame,,Year 1, spring 0, Sunday,5144,0.0
frame,,Year 1, spring 0, Sunday,5145,20.3
frame,,Year 1, spring 0, Sunday,5146,21.1
frame,,Year 1, spring 0, Sunday,5147,20.4
frame,,Year 1, spring 0, Sunday,5148,20.3
frame,,Year 1, spring 0, Sunday,5149,0.0
frame,,Year 1, spring 0, Sunday,5150,20.5
frame,,Year 1, spring 0, Sunday,5151,20.7
frame,,Year 1, spring 0, Sunday,5152,20.8
frame,,Year 1, spring 0, Sunday,5153,20.5
frame,,Year 1, spring 0, Sunday,5154,0.0
frame,,Year 1, spring 0, Sunday,5155,20.4
frame,,Year 1, spring 0, Sunday,5156,20.8
frame,,Year 1, spring 0, Sunday,5157,20.5
frame,,Year 1, spring 0, Sunday,5158,20.6
frame,,Year 1, spring 0, Sunday,5159,0.0
frame,,Year 1, spring 0, Sunday,5160,20.9
frame,,Year 1, spring 0, Sunday,5161,20.5
frame,,Year 1, spring 0, Sunday,5162,21.0
frame,,Year 1, spring 0, Sunday,5163,20.9
frame,,Year 1, spring 0, Sunday,5164,0.1
frame,,Year 1, spring 0, Sunday,5165,21.4
frame,,Year 1, spring 0, Sunday,5166,20.7
frame,,Year 1, spring 0, Sunday,5167,20.7
frame,,Year 1, spring 0, Sunday,5168,20.6
frame,,Year 1, spring 0, Sunday,5169,0.0
frame,,Year 1, spring 0, Sunday,5170,20.3
frame,,Year 1, spring 0, Sunday,5171,20.7
frame,,Year 1, spring 0, Sunday,5172,20.9
frame,,Year 1, spring 0, Sunday,5173,21.3
frame,,Year 1, spring 0, Sunday,5174,0.0
frame,,Year 1, spring 0, Sunday,5175,20.9
frame,,Year 1, spring 0, Sunday,5176,21.2
frame,,Year 1, spring 0, Sunday,5177,20.4
frame,,Year 1, spring 0, Sunday,5178,20.7
frame,,Year 1, spring 0, Sunday,5179,0.1
frame,,Year 1, spring 0, Sunday,5180,20.8
frame,,Year 1, spring 0, Sunday,5181,20.6
frame,,Year 1, spring 0, Sunday,5182,20.5
frame,,Year 1, spring 0, Sunday,5183,22.0
frame,,Year 1, spring 0, Sunday,5184,0.0
frame,,Year 1, spring 0, Sunday,5185,20.8
frame,,Year 1, spring 0, Sunday,5186,20.6
frame,,Year 1, spring 0, Sunday,5187,21.3
frame,,Year 1, spring 0, Sunday,5188,20.3
frame,,Year 1, spring 0, Sunday,5189,0.0
frame,,Year 1, spring 0, Sunday,5190,20.3
