kind,player,date,name,calls,total_ms,avg_ms,max_ms
switch,lgw,Year 1, spring 4, Thursday,610,73.4
switch,lgw,Year 1, spring 4, Thursday,620,20.7
switch,lgw,Year 1, spring 4, Thursday,630,23.0
switch,lgw,Year 1, spring 4, Thursday,640,20.5
switchdetail,lgw,Year 1, spring 4, Thursday,600,0,0.0
switchdetail,lgw,Year 1, spring 4, Thursday,610,0,0.0
switchdetail,lgw,Year 1, spring 4, Thursday,620,0,0.0
switchdetail,lgw,Year 1, spring 4, Thursday,630,0,0.0
lag,lgw,Year 1, spring 4, Thursday,2,200.6
lag,lgw,Year 1, spring 4, Thursday,31,314.7
lag,lgw,Year 1, spring 4, Thursday,59,80.9
lag,lgw,Year 1, spring 4, Thursday,60,102.9
lag,lgw,Year 1, spring 4, Thursday,70,52.3
lag,lgw,Year 1, spring 4, Thursday,3098,151.9
lag,lgw,Year 1, spring 4, Thursday,3121,204.2
lag,lgw,Year 1, spring 4, Thursday,3133,55.9
lag,lgw,Year 1, spring 4, Thursday,3848,89.8
lag,lgw,Year 1, spring 4, Thursday,3913,102.8
lag,lgw,Year 1, spring 4, Thursday,4294,68.9
lag,lgw,Year 1, spring 4, Thursday,4357,569.8
lag,lgw,Year 1, spring 4, Thursday,4387,64.1
lag,lgw,Year 1, spring 4, Thursday,4621,3186.3
lag,lgw,Year 1, spring 4, Thursday,4622,91.6
lag,lgw,Year 1, spring 4, Thursday,4850,50.2
lag,lgw,Year 1, spring 4, Thursday,4851,87.8
lag,lgw,Year 1, spring 4, Thursday,4942,73.4
lag,lgw,Year 1, spring 4, Thursday,5396,65.6
lag,lgw,Year 1, spring 4, Thursday,5524,59.1
frame,lgw,Year 1, spring 4, Thursday,5120,16.6
frame,lgw,Year 1, spring 4, Thursday,5121,16.6
frame,lgw,Year 1, spring 4, Thursday,5122,16.7
frame,lgw,Year 1, spring 4, Thursday,5123,16.8
frame,lgw,Year 1, spring 4, Thursday,5124,16.7
frame,lgw,Year 1, spring 4, Thursday,5125,16.5
frame,lgw,Year 1, spring 4, Thursday,5126,16.7
frame,lgw,Year 1, spring 4, Thursday,5127,16.5
