kind,player,date,name,calls,total_ms,avg_ms,max_ms
switch,lgw,Year 1, spring 5, Friday,610,71.8
switch,lgw,Year 1, spring 5, Friday,620,19.1
switch,lgw,Year 1, spring 5, Friday,630,31.3
switch,lgw,Year 1, spring 5, Friday,640,20.4
switch,lgw,Year 1, spring 5, Friday,650,18.7
switch,lgw,Year 1, spring 5, Friday,700,25.7
switch,lgw,Year 1, spring 5, Friday,710,17.5
switchdetail,lgw,Year 1, spring 5, Friday,600,0,0.0
switchdetail,lgw,Year 1, spring 5, Friday,610,0,0.0
switchdetail,lgw,Year 1, spring 5, Friday,620,0,0.0
switchdetail,lgw,Year 1, spring 5, Friday,630,0,0.0
switchdetail,lgw,Year 1, spring 5, Friday,640,0,0.0
switchdetail,lgw,Year 1, spring 5, Friday,650,0,0.0
switchdetail,lgw,Year 1, spring 5, Friday,700,0,0.0
lag,lgw,Year 1, spring 5, Friday,2,193.8
lag,lgw,Year 1, spring 5, Friday,30,249.2
lag,lgw,Year 1, spring 5, Friday,56,82.2
lag,lgw,Year 1, spring 5, Friday,64,123.8
lag,lgw,Year 1, spring 5, Friday,1237,119.0
lag,lgw,Year 1, spring 5, Friday,1396,572.5
lag,lgw,Year 1, spring 5, Friday,1426,71.5
lag,lgw,Year 1, spring 5, Friday,1635,3219.7
lag,lgw,Year 1, spring 5, Friday,1636,96.1
lag,lgw,Year 1, spring 5, Friday,2042,75.5
lag,lgw,Year 1, spring 5, Friday,2120,71.8
lag,lgw,Year 1, spring 5, Friday,3463,69.3
frame,lgw,Year 1, spring 5, Friday,4096,16.6
frame,lgw,Year 1, spring 5, Friday,4097,16.7
frame,lgw,Year 1, spring 5, Friday,4098,16.6
frame,lgw,Year 1, spring 5, Friday,4099,16.7
frame,lgw,Year 1, spring 5, Friday,4100,16.6
frame,lgw,Year 1, spring 5, Friday,4101,16.9
frame,lgw,Year 1, spring 5, Friday,4102,16.5
frame,lgw,Year 1, spring 5, Friday,4103,16.6
frame,lgw,Year 1, spring 5, Friday,4104,16.8
frame,lgw,Year 1, spring 5, Friday,4105,17.0
frame,lgw,Year 1, spring 5, Friday,4106,16.3
frame,lgw,Year 1, spring 5, Friday,4107,16.6
frame,lgw,Year 1, spring 5, Friday,4108,16.7
frame,lgw,Year 1, spring 5, Friday,4109,16.7
frame,lgw,Year 1, spring 5, Friday,4110,16.8
frame,lgw,Year 1, spring 5, Friday,4111,16.6
frame,lgw,Year 1, spring 5, Friday,4112,16.7
frame,lgw,Year 1, spring 5, Friday,4113,16.7
frame,lgw,Year 1, spring 5, Friday,4114,16.7
frame,lgw,Year 1, spring 5, Friday,4115,16.6
frame,lgw,Year 1, spring 5, Friday,4116,16.7
frame,lgw,Year 1, spring 5, Friday,4117,16.8
frame,lgw,Year 1, spring 5, Friday,4118,16.6
frame,lgw,Year 1, spring 5, Friday,4119,16.7
frame,lgw,Year 1, spring 5, Friday,4120,16.5
frame,lgw,Year 1, spring 5, Friday,4121,16.9
frame,lgw,Year 1, spring 5, Friday,4122,16.5
frame,lgw,Year 1, spring 5, Friday,4123,16.9
frame,lgw,Year 1, spring 5, Friday,4124,16.4
frame,lgw,Year 1, spring 5, Friday,4125,25.7
frame,lgw,Year 1, spring 5, Friday,4126,7.9
frame,lgw,Year 1, spring 5, Friday,4127,16.4
frame,lgw,Year 1, spring 5, Friday,4128,16.7
frame,lgw,Year 1, spring 5, Friday,4129,16.6
frame,lgw,Year 1, spring 5, Friday,4130,16.8
frame,lgw,Year 1, spring 5, Friday,4131,16.6
frame,lgw,Year 1, spring 5, Friday,4132,16.7
frame,lgw,Year 1, spring 5, Friday,4133,16.6
frame,lgw,Year 1, spring 5, Friday,4134,16.7
frame,lgw,Year 1, spring 5, Friday,4135,16.6
frame,lgw,Year 1, spring 5, Friday,4136,16.7
frame,lgw,Year 1, spring 5, Friday,4137,16.6
frame,lgw,Year 1, spring 5, Friday,4138,16.7
frame,lgw,Year 1, spring 5, Friday,4139,16.6
frame,lgw,Year 1, spring 5, Friday,4140,16.6
frame,lgw,Year 1, spring 5, Friday,4141,16.9
frame,lgw,Year 1, spring 5, Friday,4142,17.0
frame,lgw,Year 1, spring 5, Friday,4143,16.3
frame,lgw,Year 1, spring 5, Friday,4144,16.6
frame,lgw,Year 1, spring 5, Friday,4145,16.6
frame,lgw,Year 1, spring 5, Friday,4146,16.7
frame,lgw,Year 1, spring 5, Friday,4147,16.9
frame,lgw,Year 1, spring 5, Friday,4148,16.3
frame,lgw,Year 1, spring 5, Friday,4149,16.7
frame,lgw,Year 1, spring 5, Friday,4150,16.6
frame,lgw,Year 1, spring 5, Friday,4151,19.4
frame,lgw,Year 1, spring 5, Friday,4152,13.9
frame,lgw,Year 1, spring 5, Friday,4153,16.7
frame,lgw,Year 1, spring 5, Friday,4154,16.7
frame,lgw,Year 1, spring 5, Friday,4155,16.7
frame,lgw,Year 1, spring 5, Friday,4156,17.4
frame,lgw,Year 1, spring 5, Friday,4157,19.0
frame,lgw,Year 1, spring 5, Friday,4158,13.9
frame,lgw,Year 1, spring 5, Friday,4159,16.6
frame,lgw,Year 1, spring 5, Friday,4160,16.5
frame,lgw,Year 1, spring 5, Friday,4161,16.8
frame,lgw,Year 1, spring 5, Friday,4162,16.6
frame,lgw,Year 1, spring 5, Friday,4163,16.7
frame,lgw,Year 1, spring 5, Friday,4164,16.6
frame,lgw,Year 1, spring 5, Friday,4165,16.7
frame,lgw,Year 1, spring 5, Friday,4166,16.5
frame,lgw,Year 1, spring 5, Friday,4167,17.0
frame,lgw,Year 1, spring 5, Friday,4168,16.4
frame,lgw,Year 1, spring 5, Friday,4169,16.7
frame,lgw,Year 1, spring 5, Friday,4170,16.6
frame,lgw,Year 1, spring 5, Friday,4171,16.7
frame,lgw,Year 1, spring 5, Friday,4172,16.5
frame,lgw,Year 1, spring 5, Friday,4173,16.8
frame,lgw,Year 1, spring 5, Friday,4174,16.7
frame,lgw,Year 1, spring 5, Friday,4175,16.6
frame,lgw,Year 1, spring 5, Friday,4176,16.8
frame,lgw,Year 1, spring 5, Friday,4177,16.6
frame,lgw,Year 1, spring 5, Friday,4178,16.6
frame,lgw,Year 1, spring 5, Friday,4179,16.7
frame,lgw,Year 1, spring 5, Friday,4180,16.6
frame,lgw,Year 1, spring 5, Friday,4181,16.8
frame,lgw,Year 1, spring 5, Friday,4182,16.6
frame,lgw,Year 1, spring 5, Friday,4183,17.9
frame,lgw,Year 1, spring 5, Friday,4184,15.4
frame,lgw,Year 1, spring 5, Friday,4185,17.4
frame,lgw,Year 1, spring 5, Friday,4186,16.0
frame,lgw,Year 1, spring 5, Friday,4187,16.6
frame,lgw,Year 1, spring 5, Friday,4188,16.7
frame,lgw,Year 1, spring 5, Friday,4189,17.5
frame,lgw,Year 1, spring 5, Friday,4190,16.1
frame,lgw,Year 1, spring 5, Friday,4191,16.4
frame,lgw,Year 1, spring 5, Friday,4192,16.7
frame,lgw,Year 1, spring 5, Friday,4193,16.7
frame,lgw,Year 1, spring 5, Friday,4194,16.7
frame,lgw,Year 1, spring 5, Friday,4195,16.7
frame,lgw,Year 1, spring 5, Friday,4196,16.8
frame,lgw,Year 1, spring 5, Friday,4197,16.4
frame,lgw,Year 1, spring 5, Friday,4198,16.7
frame,lgw,Year 1, spring 5, Friday,4199,16.6
frame,lgw,Year 1, spring 5, Friday,4200,17.6
frame,lgw,Year 1, spring 5, Friday,4201,15.7
frame,lgw,Year 1, spring 5, Friday,4202,16.6
frame,lgw,Year 1, spring 5, Friday,4203,16.7
frame,lgw,Year 1, spring 5, Friday,4204,16.7
frame,lgw,Year 1, spring 5, Friday,4205,16.7
frame,lgw,Year 1, spring 5, Friday,4206,16.7
frame,lgw,Year 1, spring 5, Friday,4207,16.6
frame,lgw,Year 1, spring 5, Friday,4208,16.7
frame,lgw,Year 1, spring 5, Friday,4209,16.8
frame,lgw,Year 1, spring 5, Friday,4210,16.8
frame,lgw,Year 1, spring 5, Friday,4211,16.2
frame,lgw,Year 1, spring 5, Friday,4212,16.7
frame,lgw,Year 1, spring 5, Friday,4213,16.6
frame,lgw,Year 1, spring 5, Friday,4214,16.7
frame,lgw,Year 1, spring 5, Friday,4215,16.7
frame,lgw,Year 1, spring 5, Friday,4216,16.6
frame,lgw,Year 1, spring 5, Friday,4217,16.7
frame,lgw,Year 1, spring 5, Friday,4218,16.6
frame,lgw,Year 1, spring 5, Friday,4219,16.7
frame,lgw,Year 1, spring 5, Friday,4220,16.7
frame,lgw,Year 1, spring 5, Friday,4221,17.4
frame,lgw,Year 1, spring 5, Friday,4222,16.0
frame,lgw,Year 1, spring 5, Friday,4223,16.6
frame,lgw,Year 1, spring 5, Friday,4224,16.8
frame,lgw,Year 1, spring 5, Friday,4225,16.6
frame,lgw,Year 1, spring 5, Friday,4226,16.7
frame,lgw,Year 1, spring 5, Friday,4227,16.7
frame,lgw,Year 1, spring 5, Friday,4228,16.6
frame,lgw,Year 1, spring 5, Friday,4229,16.7
frame,lgw,Year 1, spring 5, Friday,4230,16.6
frame,lgw,Year 1, spring 5, Friday,4231,16.7
frame,lgw,Year 1, spring 5, Friday,4232,16.6
frame,lgw,Year 1, spring 5, Friday,4233,17.7
frame,lgw,Year 1, spring 5, Friday,4234,15.8
frame,lgw,Year 1, spring 5, Friday,4235,16.7
frame,lgw,Year 1, spring 5, Friday,4236,16.7
frame,lgw,Year 1, spring 5, Friday,4237,16.8
frame,lgw,Year 1, spring 5, Friday,4238,16.5
frame,lgw,Year 1, spring 5, Friday,4239,16.6
frame,lgw,Year 1, spring 5, Friday,4240,16.6
frame,lgw,Year 1, spring 5, Friday,4241,16.7
frame,lgw,Year 1, spring 5, Friday,4242,16.7
frame,lgw,Year 1, spring 5, Friday,4243,16.6
frame,lgw,Year 1, spring 5, Friday,4244,16.7
frame,lgw,Year 1, spring 5, Friday,4245,16.8
frame,lgw,Year 1, spring 5, Friday,4246,16.6
frame,lgw,Year 1, spring 5, Friday,4247,20.6
frame,lgw,Year 1, spring 5, Friday,4248,13.2
frame,lgw,Year 1, spring 5, Friday,4249,16.0
frame,lgw,Year 1, spring 5, Friday,4250,16.6
frame,lgw,Year 1, spring 5, Friday,4251,16.7
frame,lgw,Year 1, spring 5, Friday,4252,17.3
frame,lgw,Year 1, spring 5, Friday,4253,16.1
frame,lgw,Year 1, spring 5, Friday,4254,16.6
frame,lgw,Year 1, spring 5, Friday,4255,16.7
frame,lgw,Year 1, spring 5, Friday,4256,16.7
frame,lgw,Year 1, spring 5, Friday,4257,16.6
frame,lgw,Year 1, spring 5, Friday,4258,16.7
frame,lgw,Year 1, spring 5, Friday,4259,16.8
frame,lgw,Year 1, spring 5, Friday,4260,16.6
frame,lgw,Year 1, spring 5, Friday,4261,16.6
