kind,player,date,name,calls,total_ms,avg_ms,max_ms
lag,lgw,Year 1, spring 5, Friday,2,189.4
lag,lgw,Year 1, spring 5, Friday,29,243.1
lag,lgw,Year 1, spring 5, Friday,55,51.3
lag,lgw,Year 1, spring 5, Friday,64,126.0
lag,lgw,Year 1, spring 5, Friday,871,89.8
lag,lgw,Year 1, spring 5, Friday,1574,79.8
lag,lgw,Year 1, spring 5, Friday,1613,122.2
lag,lgw,Year 1, spring 5, Friday,1772,572.2
lag,lgw,Year 1, spring 5, Friday,1802,71.5
lag,lgw,Year 1, spring 5, Friday,1978,3416.4
lag,lgw,Year 1, spring 5, Friday,1979,108.4
lag,lgw,Year 1, spring 5, Friday,1982,61.8
lag,lgw,Year 1, spring 5, Friday,2190,122.7
frame,lgw,Year 1, spring 5, Friday,2048,16.6
frame,lgw,Year 1, spring 5, Friday,2049,16.6
frame,lgw,Year 1, spring 5, Friday,2050,16.7
frame,lgw,Year 1, spring 5, Friday,2051,16.7
frame,lgw,Year 1, spring 5, Friday,2052,16.8
frame,lgw,Year 1, spring 5, Friday,2053,17.2
frame,lgw,Year 1, spring 5, Friday,2054,16.1
frame,lgw,Year 1, spring 5, Friday,2055,16.7
frame,lgw,Year 1, spring 5, Friday,2056,16.7
frame,lgw,Year 1, spring 5, Friday,2057,16.6
frame,lgw,Year 1, spring 5, Friday,2058,16.7
frame,lgw,Year 1, spring 5, Friday,2059,16.7
frame,lgw,Year 1, spring 5, Friday,2060,16.7
frame,lgw,Year 1, spring 5, Friday,2061,16.7
frame,lgw,Year 1, spring 5, Friday,2062,16.6
frame,lgw,Year 1, spring 5, Friday,2063,16.7
frame,lgw,Year 1, spring 5, Friday,2064,16.8
frame,lgw,Year 1, spring 5, Friday,2065,16.5
frame,lgw,Year 1, spring 5, Friday,2066,16.7
frame,lgw,Year 1, spring 5, Friday,2067,16.7
frame,lgw,Year 1, spring 5, Friday,2068,16.7
frame,lgw,Year 1, spring 5, Friday,2069,16.6
frame,lgw,Year 1, spring 5, Friday,2070,16.6
frame,lgw,Year 1, spring 5, Friday,2071,16.7
frame,lgw,Year 1, spring 5, Friday,2072,16.7
frame,lgw,Year 1, spring 5, Friday,2073,16.8
frame,lgw,Year 1, spring 5, Friday,2074,16.6
frame,lgw,Year 1, spring 5, Friday,2075,16.6
frame,lgw,Year 1, spring 5, Friday,2076,16.7
frame,lgw,Year 1, spring 5, Friday,2077,16.6
frame,lgw,Year 1, spring 5, Friday,2078,16.8
frame,lgw,Year 1, spring 5, Friday,2079,17.2
frame,lgw,Year 1, spring 5, Friday,2080,16.2
frame,lgw,Year 1, spring 5, Friday,2081,16.7
frame,lgw,Year 1, spring 5, Friday,2082,16.5
frame,lgw,Year 1, spring 5, Friday,2083,16.7
frame,lgw,Year 1, spring 5, Friday,2084,16.7
frame,lgw,Year 1, spring 5, Friday,2085,16.6
frame,lgw,Year 1, spring 5, Friday,2086,16.6
frame,lgw,Year 1, spring 5, Friday,2087,16.7
frame,lgw,Year 1, spring 5, Friday,2088,16.7
frame,lgw,Year 1, spring 5, Friday,2089,16.6
frame,lgw,Year 1, spring 5, Friday,2090,16.7
frame,lgw,Year 1, spring 5, Friday,2091,16.9
frame,lgw,Year 1, spring 5, Friday,2092,16.5
frame,lgw,Year 1, spring 5, Friday,2093,16.7
frame,lgw,Year 1, spring 5, Friday,2094,16.6
frame,lgw,Year 1, spring 5, Friday,2095,16.6
frame,lgw,Year 1, spring 5, Friday,2096,16.7
frame,lgw,Year 1, spring 5, Friday,2097,16.7
frame,lgw,Year 1, spring 5, Friday,2098,16.7
frame,lgw,Year 1, spring 5, Friday,2099,16.7
frame,lgw,Year 1, spring 5, Friday,2100,16.7
frame,lgw,Year 1, spring 5, Friday,2101,16.6
frame,lgw,Year 1, spring 5, Friday,2102,16.7
frame,lgw,Year 1, spring 5, Friday,2103,16.7
frame,lgw,Year 1, spring 5, Friday,2104,16.7
frame,lgw,Year 1, spring 5, Friday,2105,16.8
frame,lgw,Year 1, spring 5, Friday,2106,16.6
frame,lgw,Year 1, spring 5, Friday,2107,16.7
frame,lgw,Year 1, spring 5, Friday,2108,16.5
frame,lgw,Year 1, spring 5, Friday,2109,16.7
frame,lgw,Year 1, spring 5, Friday,2110,16.7
frame,lgw,Year 1, spring 5, Friday,2111,16.7
frame,lgw,Year 1, spring 5, Friday,2112,16.7
frame,lgw,Year 1, spring 5, Friday,2113,16.6
frame,lgw,Year 1, spring 5, Friday,2114,16.6
frame,lgw,Year 1, spring 5, Friday,2115,16.7
frame,lgw,Year 1, spring 5, Friday,2116,16.7
frame,lgw,Year 1, spring 5, Friday,2117,16.7
frame,lgw,Year 1, spring 5, Friday,2118,16.7
frame,lgw,Year 1, spring 5, Friday,2119,17.1
frame,lgw,Year 1, spring 5, Friday,2120,16.7
frame,lgw,Year 1, spring 5, Friday,2121,16.5
frame,lgw,Year 1, spring 5, Friday,2122,16.5
frame,lgw,Year 1, spring 5, Friday,2123,16.6
frame,lgw,Year 1, spring 5, Friday,2124,16.6
frame,lgw,Year 1, spring 5, Friday,2125,16.7
frame,lgw,Year 1, spring 5, Friday,2126,16.6
frame,lgw,Year 1, spring 5, Friday,2127,16.6
frame,lgw,Year 1, spring 5, Friday,2128,16.7
frame,lgw,Year 1, spring 5, Friday,2129,16.7
frame,lgw,Year 1, spring 5, Friday,2130,16.7
frame,lgw,Year 1, spring 5, Friday,2131,16.6
frame,lgw,Year 1, spring 5, Friday,2132,16.7
frame,lgw,Year 1, spring 5, Friday,2133,16.7
frame,lgw,Year 1, spring 5, Friday,2134,16.7
frame,lgw,Year 1, spring 5, Friday,2135,16.6
frame,lgw,Year 1, spring 5, Friday,2136,16.7
frame,lgw,Year 1, spring 5, Friday,2137,16.7
frame,lgw,Year 1, spring 5, Friday,2138,16.7
frame,lgw,Year 1, spring 5, Friday,2139,16.7
frame,lgw,Year 1, spring 5, Friday,2140,16.7
frame,lgw,Year 1, spring 5, Friday,2141,16.7
frame,lgw,Year 1, spring 5, Friday,2142,16.6
frame,lgw,Year 1, spring 5, Friday,2143,16.8
frame,lgw,Year 1, spring 5, Friday,2144,16.6
frame,lgw,Year 1, spring 5, Friday,2145,16.6
frame,lgw,Year 1, spring 5, Friday,2146,16.7
frame,lgw,Year 1, spring 5, Friday,2147,16.6
frame,lgw,Year 1, spring 5, Friday,2148,16.7
frame,lgw,Year 1, spring 5, Friday,2149,16.6
frame,lgw,Year 1, spring 5, Friday,2150,16.6
frame,lgw,Year 1, spring 5, Friday,2151,16.7
frame,lgw,Year 1, spring 5, Friday,2152,16.7
frame,lgw,Year 1, spring 5, Friday,2153,16.6
frame,lgw,Year 1, spring 5, Friday,2154,16.6
frame,lgw,Year 1, spring 5, Friday,2155,16.7
frame,lgw,Year 1, spring 5, Friday,2156,16.7
frame,lgw,Year 1, spring 5, Friday,2157,16.6
frame,lgw,Year 1, spring 5, Friday,2158,16.8
frame,lgw,Year 1, spring 5, Friday,2159,16.5
frame,lgw,Year 1, spring 5, Friday,2160,16.7
frame,lgw,Year 1, spring 5, Friday,2161,16.7
frame,lgw,Year 1, spring 5, Friday,2162,16.7
frame,lgw,Year 1, spring 5, Friday,2163,16.6
frame,lgw,Year 1, spring 5, Friday,2164,16.7
frame,lgw,Year 1, spring 5, Friday,2165,16.6
frame,lgw,Year 1, spring 5, Friday,2166,16.7
frame,lgw,Year 1, spring 5, Friday,2167,16.7
frame,lgw,Year 1, spring 5, Friday,2168,17.0
frame,lgw,Year 1, spring 5, Friday,2169,16.5
frame,lgw,Year 1, spring 5, Friday,2170,16.6
frame,lgw,Year 1, spring 5, Friday,2171,16.6
frame,lgw,Year 1, spring 5, Friday,2172,16.7
frame,lgw,Year 1, spring 5, Friday,2173,16.7
frame,lgw,Year 1, spring 5, Friday,2174,16.6
frame,lgw,Year 1, spring 5, Friday,2175,16.7
frame,lgw,Year 1, spring 5, Friday,2176,16.7
frame,lgw,Year 1, spring 5, Friday,2177,16.6
frame,lgw,Year 1, spring 5, Friday,2178,16.7
frame,lgw,Year 1, spring 5, Friday,2179,16.7
frame,lgw,Year 1, spring 5, Friday,2180,16.8
frame,lgw,Year 1, spring 5, Friday,2181,16.4
frame,lgw,Year 1, spring 5, Friday,2182,16.9
frame,lgw,Year 1, spring 5, Friday,2183,16.5
frame,lgw,Year 1, spring 5, Friday,2184,16.7
frame,lgw,Year 1, spring 5, Friday,2185,16.6
frame,lgw,Year 1, spring 5, Friday,2186,16.6
frame,lgw,Year 1, spring 5, Friday,2187,16.7
frame,lgw,Year 1, spring 5, Friday,2188,16.7
frame,lgw,Year 1, spring 5, Friday,2189,122.7
frame,lgw,Year 1, spring 5, Friday,2190,2.2
frame,lgw,Year 1, spring 5, Friday,2191,0.2
frame,lgw,Year 1, spring 5, Friday,2192,0.2
frame,lgw,Year 1, spring 5, Friday,2193,0.1
frame,lgw,Year 1, spring 5, Friday,2194,0.1
frame,lgw,Year 1, spring 5, Friday,2195,0.1
frame,lgw,Year 1, spring 5, Friday,2196,7.5
frame,lgw,Year 1, spring 5, Friday,2197,16.9
frame,lgw,Year 1, spring 5, Friday,2198,16.6
frame,lgw,Year 1, spring 5, Friday,2199,16.7
frame,lgw,Year 1, spring 5, Friday,2200,17.5
frame,lgw,Year 1, spring 5, Friday,2201,15.9
frame,lgw,Year 1, spring 5, Friday,2202,16.6
frame,lgw,Year 1, spring 5, Friday,2203,16.7
frame,lgw,Year 1, spring 5, Friday,2204,16.6
frame,lgw,Year 1, spring 5, Friday,2205,16.7
frame,lgw,Year 1, spring 5, Friday,2206,16.6
frame,lgw,Year 1, spring 5, Friday,2207,16.7
frame,lgw,Year 1, spring 5, Friday,2208,16.9
frame,lgw,Year 1, spring 5, Friday,2209,16.5
frame,lgw,Year 1, spring 5, Friday,2210,16.7
frame,lgw,Year 1, spring 5, Friday,2211,16.6
frame,lgw,Year 1, spring 5, Friday,2212,16.7
