kind,player,date,name,calls,total_ms,avg_ms,max_ms
switch,lgw,Year 1, spring 7, Sunday,610,77.7
switch,lgw,Year 1, spring 7, Sunday,620,21.1
switch,lgw,Year 1, spring 7, Sunday,630,22.7
switch,lgw,Year 1, spring 7, Sunday,640,21.4
switch,lgw,Year 1, spring 7, Sunday,650,17.6
switch,lgw,Year 1, spring 7, Sunday,700,20.3
switch,lgw,Year 1, spring 7, Sunday,710,17.6
switchdetail,lgw,Year 1, spring 7, Sunday,600,0,0.0
switchdetail,lgw,Year 1, spring 7, Sunday,610,0,0.0
switchdetail,lgw,Year 1, spring 7, Sunday,620,0,0.0
switchdetail,lgw,Year 1, spring 7, Sunday,630,0,0.0
switchdetail,lgw,Year 1, spring 7, Sunday,640,0,0.0
switchdetail,lgw,Year 1, spring 7, Sunday,650,0,0.0
switchdetail,lgw,Year 1, spring 7, Sunday,700,0,0.0
lag,lgw,Year 1, spring 7, Sunday,2,244.8
lag,lgw,Year 1, spring 7, Sunday,7,51.4
lag,lgw,Year 1, spring 7, Sunday,30,318.8
lag,lgw,Year 1, spring 7, Sunday,71,131.7
lag,lgw,Year 1, spring 7, Sunday,318,100.2
lag,lgw,Year 1, spring 7, Sunday,1795,117.6
lag,lgw,Year 1, spring 7, Sunday,1954,560.4
lag,lgw,Year 1, spring 7, Sunday,1984,111.7
lag,lgw,Year 1, spring 7, Sunday,2176,3290.0
lag,lgw,Year 1, spring 7, Sunday,2177,107.5
lag,lgw,Year 1, spring 7, Sunday,2344,129.6
lag,lgw,Year 1, spring 7, Sunday,2539,102.9
lag,lgw,Year 1, spring 7, Sunday,2621,77.7
lag,lgw,Year 1, spring 7, Sunday,2929,51.0
frame,lgw,Year 1, spring 7, Sunday,4096,16.9
frame,lgw,Year 1, spring 7, Sunday,4097,19.7
frame,lgw,Year 1, spring 7, Sunday,4098,13.6
frame,lgw,Year 1, spring 7, Sunday,4099,16.6
frame,lgw,Year 1, spring 7, Sunday,4100,16.6
frame,lgw,Year 1, spring 7, Sunday,4101,16.8
frame,lgw,Year 1, spring 7, Sunday,4102,16.5
frame,lgw,Year 1, spring 7, Sunday,4103,19.5
frame,lgw,Year 1, spring 7, Sunday,4104,13.9
frame,lgw,Year 1, spring 7, Sunday,4105,16.7
frame,lgw,Year 1, spring 7, Sunday,4106,16.6
frame,lgw,Year 1, spring 7, Sunday,4107,17.0
frame,lgw,Year 1, spring 7, Sunday,4108,16.5
frame,lgw,Year 1, spring 7, Sunday,4109,16.6
frame,lgw,Year 1, spring 7, Sunday,4110,16.8
frame,lgw,Year 1, spring 7, Sunday,4111,16.5
frame,lgw,Year 1, spring 7, Sunday,4112,16.6
frame,lgw,Year 1, spring 7, Sunday,4113,16.7
frame,lgw,Year 1, spring 7, Sunday,4114,16.7
frame,lgw,Year 1, spring 7, Sunday,4115,16.6
frame,lgw,Year 1, spring 7, Sunday,4116,16.9
frame,lgw,Year 1, spring 7, Sunday,4117,16.6
frame,lgw,Year 1, spring 7, Sunday,4118,16.6
frame,lgw,Year 1, spring 7, Sunday,4119,16.7
frame,lgw,Year 1, spring 7, Sunday,4120,16.7
frame,lgw,Year 1, spring 7, Sunday,4121,16.6
frame,lgw,Year 1, spring 7, Sunday,4122,16.7
frame,lgw,Year 1, spring 7, Sunday,4123,16.5
frame,lgw,Year 1, spring 7, Sunday,4124,16.8
frame,lgw,Year 1, spring 7, Sunday,4125,16.5
frame,lgw,Year 1, spring 7, Sunday,4126,16.9
frame,lgw,Year 1, spring 7, Sunday,4127,16.6
frame,lgw,Year 1, spring 7, Sunday,4128,16.7
frame,lgw,Year 1, spring 7, Sunday,4129,16.6
frame,lgw,Year 1, spring 7, Sunday,4130,16.7
frame,lgw,Year 1, spring 7, Sunday,4131,16.6
frame,lgw,Year 1, spring 7, Sunday,4132,16.7
frame,lgw,Year 1, spring 7, Sunday,4133,16.8
frame,lgw,Year 1, spring 7, Sunday,4134,16.6
frame,lgw,Year 1, spring 7, Sunday,4135,16.7
frame,lgw,Year 1, spring 7, Sunday,4136,16.8
frame,lgw,Year 1, spring 7, Sunday,4137,18.3
frame,lgw,Year 1, spring 7, Sunday,4138,15.0
frame,lgw,Year 1, spring 7, Sunday,4139,16.3
frame,lgw,Year 1, spring 7, Sunday,4140,16.6
frame,lgw,Year 1, spring 7, Sunday,4141,16.7
frame,lgw,Year 1, spring 7, Sunday,4142,16.8
frame,lgw,Year 1, spring 7, Sunday,4143,16.6
frame,lgw,Year 1, spring 7, Sunday,4144,16.6
frame,lgw,Year 1, spring 7, Sunday,4145,16.7
frame,lgw,Year 1, spring 7, Sunday,4146,16.9
frame,lgw,Year 1, spring 7, Sunday,4147,17.4
frame,lgw,Year 1, spring 7, Sunday,4148,15.8
frame,lgw,Year 1, spring 7, Sunday,4149,16.7
frame,lgw,Year 1, spring 7, Sunday,4150,16.7
frame,lgw,Year 1, spring 7, Sunday,4151,16.7
frame,lgw,Year 1, spring 7, Sunday,4152,16.6
frame,lgw,Year 1, spring 7, Sunday,4153,16.6
frame,lgw,Year 1, spring 7, Sunday,4154,16.6
frame,lgw,Year 1, spring 7, Sunday,4155,16.7
frame,lgw,Year 1, spring 7, Sunday,4156,16.6
