kind,player,date,name,calls,total_ms,avg_ms,max_ms
switch,lgw,Year 1, spring 8, Monday,610,74.1
switch,lgw,Year 1, spring 8, Monday,620,19.1
switch,lgw,Year 1, spring 8, Monday,630,31.7
switch,lgw,Year 1, spring 8, Monday,640,18.4
switch,lgw,Year 1, spring 8, Monday,650,17.5
switch,lgw,Year 1, spring 8, Monday,700,20.7
switch,lgw,Year 1, spring 8, Monday,710,19.6
switch,lgw,Year 1, spring 8, Monday,720,18.1
switch,lgw,Year 1, spring 8, Monday,730,17.9
switchdetail,lgw,Year 1, spring 8, Monday,600,0,0.0
switchdetail,lgw,Year 1, spring 8, Monday,610,0,0.0
switchdetail,lgw,Year 1, spring 8, Monday,620,0,0.0
switchdetail,lgw,Year 1, spring 8, Monday,630,0,0.0
switchdetail,lgw,Year 1, spring 8, Monday,640,0,0.0
switchdetail,lgw,Year 1, spring 8, Monday,650,0,0.0
switchdetail,lgw,Year 1, spring 8, Monday,700,0,0.0
switchdetail,lgw,Year 1, spring 8, Monday,710,0,0.0
switchdetail,lgw,Year 1, spring 8, Monday,720,0,0.0
lag,lgw,Year 1, spring 8, Monday,2,236.3
lag,lgw,Year 1, spring 8, Monday,7,55.8
lag,lgw,Year 1, spring 8, Monday,29,281.2
lag,lgw,Year 1, spring 8, Monday,59,76.1
lag,lgw,Year 1, spring 8, Monday,60,55.9
lag,lgw,Year 1, spring 8, Monday,73,148.5
lag,lgw,Year 1, spring 8, Monday,100,82.9
lag,lgw,Year 1, spring 8, Monday,1080,84.7
lag,lgw,Year 1, spring 8, Monday,1674,126.5
lag,lgw,Year 1, spring 8, Monday,1833,598.8
lag,lgw,Year 1, spring 8, Monday,1863,102.6
lag,lgw,Year 1, spring 8, Monday,2146,3701.8
lag,lgw,Year 1, spring 8, Monday,2147,108.8
lag,lgw,Year 1, spring 8, Monday,2150,77.4
lag,lgw,Year 1, spring 8, Monday,2462,89.3
lag,lgw,Year 1, spring 8, Monday,2547,74.1
frame,lgw,Year 1, spring 8, Monday,4096,16.6
frame,lgw,Year 1, spring 8, Monday,4097,17.0
frame,lgw,Year 1, spring 8, Monday,4098,16.5
frame,lgw,Year 1, spring 8, Monday,4099,16.6
frame,lgw,Year 1, spring 8, Monday,4100,16.6
frame,lgw,Year 1, spring 8, Monday,4101,16.7
frame,lgw,Year 1, spring 8, Monday,4102,16.7
frame,lgw,Year 1, spring 8, Monday,4103,16.7
frame,lgw,Year 1, spring 8, Monday,4104,16.8
frame,lgw,Year 1, spring 8, Monday,4105,16.5
frame,lgw,Year 1, spring 8, Monday,4106,16.7
frame,lgw,Year 1, spring 8, Monday,4107,16.6
frame,lgw,Year 1, spring 8, Monday,4108,16.7
frame,lgw,Year 1, spring 8, Monday,4109,16.7
frame,lgw,Year 1, spring 8, Monday,4110,16.8
