kind,player,date,name,calls,total_ms,avg_ms,max_ms
lag,lgw,Year 1, spring 18, Thursday,2,176.1
lag,lgw,Year 1, spring 18, Thursday,19,243.0
lag,lgw,Year 1, spring 18, Thursday,70,78.3
lag,lgw,Year 1, spring 18, Thursday,1883,85.8
lag,lgw,Year 1, spring 18, Thursday,1948,154.6
lag,lgw,Year 1, spring 18, Thursday,1985,194.2
lag,lgw,Year 1, spring 18, Thursday,2012,68.2
lag,lgw,Year 1, spring 18, Thursday,2331,71.5
lag,lgw,Year 1, spring 18, Thursday,2450,585.4
lag,lgw,Year 1, spring 18, Thursday,2480,84.1
lag,lgw,Year 1, spring 18, Thursday,2719,180.2
lag,lgw,Year 1, spring 18, Thursday,2739,73.5
lag,lgw,Year 1, spring 18, Thursday,3100,122.7
lag,lgw,Year 1, spring 18, Thursday,3187,3701.1
lag,lgw,Year 1, spring 18, Thursday,3188,104.1
lag,lgw,Year 1, spring 18, Thursday,3191,85.6
lag,lgw,Year 1, spring 18, Thursday,3497,117.5
lag,lgw,Year 1, spring 18, Thursday,3669,87.0
lag,lgw,Year 1, spring 18, Thursday,3722,61.6
lag,lgw,Year 1, spring 18, Thursday,3852,103.1
frame,lgw,Year 1, spring 18, Thursday,5120,0.1
frame,lgw,Year 1, spring 18, Thursday,5121,21.4
frame,lgw,Year 1, spring 18, Thursday,5122,21.6
frame,lgw,Year 1, spring 18, Thursday,5123,21.8
frame,lgw,Year 1, spring 18, Thursday,5124,0.1
frame,lgw,Year 1, spring 18, Thursday,5125,21.2
frame,lgw,Year 1, spring 18, Thursday,5126,20.7
frame,lgw,Year 1, spring 18, Thursday,5127,20.7
frame,lgw,Year 1, spring 18, Thursday,5128,20.8
frame,lgw,Year 1, spring 18, Thursday,5129,0.1
frame,lgw,Year 1, spring 18, Thursday,5130,20.9
frame,lgw,Year 1, spring 18, Thursday,5131,21.6
frame,lgw,Year 1, spring 18, Thursday,5132,21.9
frame,lgw,Year 1, spring 18, Thursday,5133,22.2
frame,lgw,Year 1, spring 18, Thursday,5134,0.1
frame,lgw,Year 1, spring 18, Thursday,5135,21.7
frame,lgw,Year 1, spring 18, Thursday,5136,20.8
frame,lgw,Year 1, spring 18, Thursday,5137,21.1
frame,lgw,Year 1, spring 18, Thursday,5138,0.1
frame,lgw,Year 1, spring 18, Thursday,5139,21.1
frame,lgw,Year 1, spring 18, Thursday,5140,20.9
frame,lgw,Year 1, spring 18, Thursday,5141,20.7
frame,lgw,Year 1, spring 18, Thursday,5142,20.7
frame,lgw,Year 1, spring 18, Thursday,5143,0.1
frame,lgw,Year 1, spring 18, Thursday,5144,21.0
frame,lgw,Year 1, spring 18, Thursday,5145,20.9
frame,lgw,Year 1, spring 18, Thursday,5146,21.4
frame,lgw,Year 1, spring 18, Thursday,5147,21.7
frame,lgw,Year 1, spring 18, Thursday,5148,0.1
frame,lgw,Year 1, spring 18, Thursday,5149,20.7
frame,lgw,Year 1, spring 18, Thursday,5150,21.6
frame,lgw,Year 1, spring 18, Thursday,5151,21.2
frame,lgw,Year 1, spring 18, Thursday,5152,0.2
frame,lgw,Year 1, spring 18, Thursday,5153,21.5
frame,lgw,Year 1, spring 18, Thursday,5154,21.3
frame,lgw,Year 1, spring 18, Thursday,5155,22.6
frame,lgw,Year 1, spring 18, Thursday,5156,21.3
frame,lgw,Year 1, spring 18, Thursday,5157,0.2
frame,lgw,Year 1, spring 18, Thursday,5158,22.0
frame,lgw,Year 1, spring 18, Thursday,5159,20.7
frame,lgw,Year 1, spring 18, Thursday,5160,21.4
frame,lgw,Year 1, spring 18, Thursday,5161,0.1
frame,lgw,Year 1, spring 18, Thursday,5162,21.3
frame,lgw,Year 1, spring 18, Thursday,5163,20.9
frame,lgw,Year 1, spring 18, Thursday,5164,21.1
frame,lgw,Year 1, spring 18, Thursday,5165,21.2
frame,lgw,Year 1, spring 18, Thursday,5166,0.1
frame,lgw,Year 1, spring 18, Thursday,5167,21.1
frame,lgw,Year 1, spring 18, Thursday,5168,21.2
frame,lgw,Year 1, spring 18, Thursday,5169,21.1
frame,lgw,Year 1, spring 18, Thursday,5170,0.1
frame,lgw,Year 1, spring 18, Thursday,5171,21.0
frame,lgw,Year 1, spring 18, Thursday,5172,20.6
frame,lgw,Year 1, spring 18, Thursday,5173,21.9
frame,lgw,Year 1, spring 18, Thursday,5174,20.9
frame,lgw,Year 1, spring 18, Thursday,5175,0.1
frame,lgw,Year 1, spring 18, Thursday,5176,20.6
frame,lgw,Year 1, spring 18, Thursday,5177,21.3
frame,lgw,Year 1, spring 18, Thursday,5178,20.7
frame,lgw,Year 1, spring 18, Thursday,5179,21.5
frame,lgw,Year 1, spring 18, Thursday,5180,0.2
