kind,player,date,name,calls,total_ms,avg_ms,max_ms
switch,lgw,Year 1, summer 2, Tuesday,610,83.7
switch,lgw,Year 1, summer 2, Tuesday,620,28.0
switch,lgw,Year 1, summer 2, Tuesday,630,18.3
switch,lgw,Year 1, summer 2, Tuesday,640,17.7
switch,lgw,Year 1, summer 2, Tuesday,650,20.3
switch,lgw,Year 1, summer 2, Tuesday,700,18.4
switch,lgw,Year 1, summer 2, Tuesday,710,18.3
switchdetail,lgw,Year 1, summer 2, Tuesday,600,0,0.0
switchdetail,lgw,Year 1, summer 2, Tuesday,610,0,0.0
switchdetail,lgw,Year 1, summer 2, Tuesday,620,0,0.0
switchdetail,lgw,Year 1, summer 2, Tuesday,630,0,0.0
switchdetail,lgw,Year 1, summer 2, Tuesday,640,0,0.0
switchdetail,lgw,Year 1, summer 2, Tuesday,650,0,0.0
switchdetail,lgw,Year 1, summer 2, Tuesday,700,0,0.0
lag,lgw,Year 1, summer 2, Tuesday,2,187.9
lag,lgw,Year 1, summer 2, Tuesday,23,315.2
lag,lgw,Year 1, summer 2, Tuesday,72,107.0
lag,lgw,Year 1, summer 2, Tuesday,1904,88.9
lag,lgw,Year 1, summer 2, Tuesday,1970,126.8
lag,lgw,Year 1, summer 2, Tuesday,2129,734.5
lag,lgw,Year 1, summer 2, Tuesday,2159,96.3
lag,lgw,Year 1, summer 2, Tuesday,2943,3888.8
lag,lgw,Year 1, summer 2, Tuesday,2944,119.5
lag,lgw,Year 1, summer 2, Tuesday,2947,86.5
lag,lgw,Year 1, summer 2, Tuesday,3372,69.3
lag,lgw,Year 1, summer 2, Tuesday,3373,103.3
lag,lgw,Year 1, summer 2, Tuesday,3450,83.7
lag,lgw,Year 1, summer 2, Tuesday,3791,67.4
lag,lgw,Year 1, summer 2, Tuesday,4474,70.6
lag,lgw,Year 1, summer 2, Tuesday,5061,305.2
frame,lgw,Year 1, summer 2, Tuesday,5120,16.6
frame,lgw,Year 1, summer 2, Tuesday,5121,18.1
frame,lgw,Year 1, summer 2, Tuesday,5122,15.2
frame,lgw,Year 1, summer 2, Tuesday,5123,16.7
frame,lgw,Year 1, summer 2, Tuesday,5124,16.7
frame,lgw,Year 1, summer 2, Tuesday,5125,16.9
frame,lgw,Year 1, summer 2, Tuesday,5126,16.5
frame,lgw,Year 1, summer 2, Tuesday,5127,16.5
frame,lgw,Year 1, summer 2, Tuesday,5128,16.9
frame,lgw,Year 1, summer 2, Tuesday,5129,17.3
frame,lgw,Year 1, summer 2, Tuesday,5130,15.9
frame,lgw,Year 1, summer 2, Tuesday,5131,16.7
frame,lgw,Year 1, summer 2, Tuesday,5132,16.7
frame,lgw,Year 1, summer 2, Tuesday,5133,16.7
frame,lgw,Year 1, summer 2, Tuesday,5134,16.7
frame,lgw,Year 1, summer 2, Tuesday,5135,16.6
frame,lgw,Year 1, summer 2, Tuesday,5136,16.7
frame,lgw,Year 1, summer 2, Tuesday,5137,16.7
frame,lgw,Year 1, summer 2, Tuesday,5138,16.8
frame,lgw,Year 1, summer 2, Tuesday,5139,16.6
frame,lgw,Year 1, summer 2, Tuesday,5140,16.6
frame,lgw,Year 1, summer 2, Tuesday,5141,16.7
frame,lgw,Year 1, summer 2, Tuesday,5142,16.7
frame,lgw,Year 1, summer 2, Tuesday,5143,16.7
frame,lgw,Year 1, summer 2, Tuesday,5144,16.7
frame,lgw,Year 1, summer 2, Tuesday,5145,17.7
frame,lgw,Year 1, summer 2, Tuesday,5146,15.5
frame,lgw,Year 1, summer 2, Tuesday,5147,16.7
frame,lgw,Year 1, summer 2, Tuesday,5148,16.7
frame,lgw,Year 1, summer 2, Tuesday,5149,16.8
frame,lgw,Year 1, summer 2, Tuesday,5150,17.0
frame,lgw,Year 1, summer 2, Tuesday,5151,19.0
frame,lgw,Year 1, summer 2, Tuesday,5152,13.9
frame,lgw,Year 1, summer 2, Tuesday,5153,16.6
frame,lgw,Year 1, summer 2, Tuesday,5154,17.2
frame,lgw,Year 1, summer 2, Tuesday,5155,16.1
frame,lgw,Year 1, summer 2, Tuesday,5156,16.7
frame,lgw,Year 1, summer 2, Tuesday,5157,16.8
frame,lgw,Year 1, summer 2, Tuesday,5158,16.7
frame,lgw,Year 1, summer 2, Tuesday,5159,16.6
frame,lgw,Year 1, summer 2, Tuesday,5160,16.7
